model,runtime
wideresnet_18_0.1_1e-2_1e-2_Adam,0.4383680820465088
wideresnet_18_0.1_1e-4_1e-4_sgd,0.482867956161499
wideresnet_18_0.1_1e-4_1e-4_Adam,0.43779778480529785
wideresnet_18_0.01_1e-3_1e-3_sgd,0.4393422603607178
wideresnet_18_0.01_1e-3_1e-3_Adam,0.44213128089904785
wideresnet_18_0.01_1e-2_1e-2_sgd,0.48010754585266113
wideresnet_18_0.01_1e-2_1e-2_Adam,0.490339994430542
wideresnet_18_0.01_1e-4_1e-4_sgd,0.46064090728759766
wideresnet_18_0.01_1e-4_1e-4_Adam,0.48667001724243164
wideresnet_18_0.8_1e-3_1e-3_sgd,0.46649861335754395
wideresnet_18_0.8_1e-3_1e-3_Adam,0.49109864234924316
wideresnet_18_0.8_1e-2_1e-2_sgd,0.45796942710876465
wideresnet_18_0.8_1e-2_1e-2_Adam,0.4582793712615967
wideresnet_18_0.8_1e-4_1e-4_sgd,0.43688416481018066
wideresnet_18_0.8_1e-4_1e-4_Adam,0.47197961807250977
wideresnet_34_0.1_1e-3_1e-3_sgd,0.4729893207550049
wideresnet_34_0.1_1e-3_1e-3_Adam,0.5006237030029297
wideresnet_34_0.1_1e-2_1e-2_sgd,0.47737812995910645
wideresnet_34_0.1_1e-2_1e-2_Adam,0.4657409191131592
wideresnet_34_0.1_1e-4_1e-4_sgd,0.46305370330810547
wideresnet_34_0.1_1e-4_1e-4_Adam,0.46128082275390625
wideresnet_34_0.01_1e-3_1e-3_sgd,0.44251060485839844
wideresnet_34_0.01_1e-3_1e-3_Adam,0.4700171947479248
wideresnet_34_0.01_1e-2_1e-2_sgd,0.45528602600097656
wideresnet_34_0.01_1e-2_1e-2_Adam,0.46454405784606934
wideresnet_34_0.01_1e-4_1e-4_sgd,0.4539041519165039
wideresnet_34_0.01_1e-4_1e-4_Adam,0.4903697967529297
wideresnet_34_0.8_1e-3_1e-3_sgd,0.5138144493103027
wideresnet_34_0.8_1e-3_1e-3_Adam,0.44400477409362793
wideresnet_34_0.8_1e-2_1e-2_sgd,0.49904823303222656
wideresnet_34_0.8_1e-2_1e-2_Adam,0.47983407974243164
wideresnet_34_0.8_1e-4_1e-4_sgd,0.4499969482421875
wideresnet_34_0.8_1e-4_1e-4_Adam,0.5014200210571289
